"tip","time","weekday","distance","duration_min","points","deliveries_count","fare","month","time_sin","time_cos","geo_distance","speed","geo_speed"
1,20,6,5.57,26.4,12,1,12.3,6,-0.866025403784439,-0.5,2.04573039119464,0.210984848484848,0.0774897875452513
2,0,5,2.59,23.6,2,1,5.93,3,0,1,1.30732232041586,0.109745762711864,0.0553950135769431
3.84,11,0,2.3,25.3,3,1,2.64,6,-0.5,0.866025403784438,0.671933944473548,0.0909090909090909,0.0265586539317608
6.44,1,6,1.59,12.0833333333333,1,1,2.65,3,0.5,0.866025403784439,0.479523680990732,0.131586206896552,0.0396847184268192
16.67,1.5,6,9.95,50,3,3,13.87,3,0.707106781186547,0.707106781186548,2.50528994403883,0.199,0.0501057988807765
3,7.5,1,6.47,15.6166666666667,1,1,4.08,4,-0.707106781186547,-0.707106781186548,4.22104005392697,0.414300960512273,0.270290718501193
6.05,0.5,4,4.58,13.1666666666667,1,1,3.44,8,0.258819045102521,0.965925826289068,0.698472252327142,0.347848101265823,0.0530485254932006
11.24,1,4,3.37,32.1666666666667,2,2,4.18,8,0.5,0.866025403784439,1.1595667994073,0.104766839378238,0.0360487087898641
6.99,7.5,4,2.04,13.1166666666667,1,1,3.02,8,-0.707106781186547,-0.707106781186548,1.6734292758815,0.155527318932656,0.127580376814346
15,8.5,4,5.43,23.4666666666667,1,1,4.38,8,-0.965925826289068,-0.258819045102521,0.820591487209965,0.231392045454545,0.034968387239061
2,10.5,4,5.05,19.9,3,1,5.5,8,-0.707106781186548,0.707106781186547,2.03732870039529,0.253768844221106,0.10237832665303
17.22,14.5,4,13,46.5166666666667,2,2,7.67,8,0.965925826289068,0.258819045102521,6.09275899282565,0.279469724113221,0.130980128831795
6.05,19,4,0.22,8.3,6,1,2.34,8,-0.499999999999999,-0.866025403784439,0.699220252044196,0.0265060240963855,0.0842434038607465
3.87,19.5,4,0.59,13.6,6,1,3.22,8,-0.707106781186547,-0.707106781186548,0.461015959381907,0.0433823529411765,0.0338982323074931
20.11,19.5,4,10.12,45.05,18,3,9.15,8,-0.707106781186547,-0.707106781186548,6.22688942206831,0.224639289678135,0.138221740778431
7.93,20,4,3.6,25.2333333333333,6,1,3.39,8,-0.866025403784439,-0.5,1.42745186930719,0.142668428005284,0.0565700872909058
4.36,20.5,4,1.5,20.2666666666667,6,1,3.2,8,-0.965925826289068,-0.258819045102523,0.544497702748773,0.0740131578947369,0.0268666629645776
13.65,21,4,11.94,38.9,6,1,5.59,8,-1,-4.28626379701574e-16,8.42665788489368,0.30694087403599,0.216623596012691
7.79,0,1,1.23,22.1666666666667,2,1,4.27,7,0,1,0.602804475003143,0.0554887218045113,0.027194186842247
3.88,10,1,3.25,21.0333333333333,1,1,2.55,7,-0.866025403784439,0.5,0.748543171076701,0.154516640253566,0.0355884233475452
10.79,12,1,4.26,36.5666666666667,3,1,3.5,7,-2.44929359829471e-16,1,1.00369158999181,0.116499544211486,0.0274482659067951
3,13.5,1,5.64,20.8166666666667,3,1,4.05,7,0.707106781186547,0.707106781186548,3.87849276989007,0.27093674939952,0.186316706319779
2.22,21,1,17.27,45.9833333333333,1,1,7.02,7,-1,-4.28626379701574e-16,8.96496342629671,0.375570859006887,0.194961147364191
13.93,22.5,1,13.03,34.4666666666667,2,2,7.75,7,-0.707106781186547,0.707106781186548,8.73002898381964,0.378046421663443,0.253289042083742
5.79,1.5,6,1.18,21.7,1,1,2.59,6,0.707106781186547,0.707106781186548,0.923950816169664,0.0543778801843318,0.0425783786253301
3.34,1.5,6,2.43,24.8333333333333,1,1,4.74,6,0.707106781186547,0.707106781186548,0.602804475003143,0.0978523489932886,0.0242740057048245
4.82,2,6,5.58,33.5666666666667,1,1,3.19,6,0.866025403784439,0.5,1.12648898871567,0.166236345580933,0.0335597514016585
4,3,6,1.63,28.4,1,1,3.17,6,1,6.12323399573677e-17,0.970122460681219,0.0573943661971831,0.0341592415732824
7,7.5,6,5.01,19.4833333333333,1,1,4.05,6,-0.707106781186547,-0.707106781186548,1.90476271230575,0.257142857142857,0.0977636978086782
5,8.5,6,5.2,24.7833333333333,1,1,4.06,6,-0.965925826289068,-0.258819045102521,0.829687925227226,0.209818426361802,0.0334776567004933
1,15.5,6,9.14,39.9333333333333,1,1,9.41,6,0.965925826289068,-0.25881904510252,0.415251212890551,0.228881469115192,0.0103986113411657
6.51,20.5,6,1.49,17.9833333333333,6,1,2.84,6,-0.965925826289068,-0.258819045102523,0.782101391416709,0.0828544949026877,0.0434903461399468
3.6,0.5,3,4.28,18.0333333333333,1,1,3.46,5,0.258819045102521,0.965925826289068,1.4091090007847,0.237338262476895,0.078139131281961
1,7,3,2.69,25.4166666666667,1,1,6.56,5,-0.5,-0.866025403784439,0.823727421544776,0.10583606557377,0.0324089477329092
15.42,18,3,18.79,60,12,2,13.47,5,3.67394039744206e-16,-1,9.77553496789329,0.313166666666667,0.162925582798221
6.06,0.5,0,4.49,17.6166666666667,1,1,3.99,9,0.258819045102521,0.965925826289068,2.70345458888454,0.254872280037843,0.153460052349169
5,8.5,0,19.7,55.8666666666667,2,1,17.71,9,-0.965925826289068,-0.258819045102521,7.24613915991808,0.352625298329356,0.129704161573713
4.34,10,0,2.97,12.7833333333333,1,1,3.22,9,-0.866025403784439,0.5,1.16326372610677,0.232333767926988,0.0909984661882738
3,11,0,1.39,13.0166666666667,3,1,2.16,9,-0.5,0.866025403784438,0.325951827988552,0.106786171574904,0.0250411135458554
7.71,11.5,0,3.91,30.0833333333333,6,2,4.36,9,-0.258819045102522,0.965925826289068,1.53632429498543,0.129972299168975,0.0510689516338646
5,19,0,4.36,30.3666666666667,12,2,7.02,9,-0.499999999999999,-0.866025403784439,1.77564002322021,0.14357848518112,0.0584733267800288
4.99,20,0,1.97,12.6166666666667,6,1,3.06,9,-0.866025403784439,-0.5,0.0143694658625208,0.156142668428005,0.00113892728104524
10.73,20,0,2.57,21.85,12,2,6.3,9,-0.866025403784439,-0.5,5.83611575724375,0.117620137299771,0.267099119324657
