date,time,fare,tip,earnings,distance,duration,restaurant_address,points,deliveries_count,dropoff_latitude,dropoff_longitude,restaurant_latitude,restaurant_longitude,weekday,weekday_name,is_weekend,is_holiday,duration_min,speed_mph,part_of_day,earnings_per_mile,earnings_per_hour,tip_pct,driver_binary
2025-06-08,20.0,12.3,1.0,13.3,5.57,26m 24s,McDonald's (146 S Fairview Ave),12,1,34.40967543920838,-119.84433283463753,34.4368539,-119.8301947,6,Sunday,True,False,26.4,12.65909090909091,Evening,2.3877917414721725,30.22727272727273,0.075187969924812,0
2025-03-08,0.0,5.93,2.0,7.93,2.59,23 min 36 s,"McDonald's, Cliff Dr",2,1,34.4085594,-119.7008271,34.402100060532526,-119.72235496282632,5,Saturday,True,False,23.6,6.584745762711863,Night,3.0617760617760617,20.16101694915254,0.2522068095838587,1
2025-06-09,11.0,2.640000000000001,3.84,6.48,2.3,25m 18s,Su’s Bowl (Isla Vista),3,1,34.4146025,-119.84581,34.4129772,-119.857419,0,Monday,False,False,25.3,5.454545454545454,Lunch,2.8173913043478267,15.367588932806324,0.5925925925925926,0
2025-06-09,11.5,5.0,0.0,5.0,5.84,40m 50s,Kaiju Ramen and Curry (Isla Vista),6,2,34.4146025,-119.84581,34.4129239,-119.8573375,0,Monday,False,False,40.833333333333336,8.581224489795918,Lunch,0.8561643835616438,7.346938775510204,0.0,0
2025-03-09,1.0,2.6499999999999995,6.44,9.09,1.59,12 min 05 s,"Taco Bell, 821 N Milpas St",1,1,34.4226438,-119.6893009,34.4295465,-119.6900785,6,Sunday,True,False,12.083333333333334,7.895172413793103,Night,5.716981132075471,45.13655172413793,0.7084708470847085,1
2025-03-09,1.5,13.869999999999996,16.67,30.54,9.95,50 min 00 s,Jack in the Box (501 N Milpas St),3,3,34.4388515,-119.7268707,34.4262994,-119.6856795,6,Sunday,True,False,50.0,11.94,Night,3.069346733668342,36.648,0.5458415193189261,1
2025-04-01,7.5,4.08,3.0,7.08,6.47,15m 37s,McDonald's (3940 State St),1,1,34.4908062,-119.7956362,34.440895,-119.753051,1,Tuesday,False,False,15.616666666666667,24.858057630736393,Morning,1.0942812982998456,27.2017075773746,0.423728813559322,0
2025-08-01,0.5,3.4400000000000004,6.05,9.49,4.58,13 min 10 sec,McDonald's (29 N Milpas St),1,1,34.428047,-119.6686846,34.42374070774889,-119.67975739730134,4,Friday,False,False,13.166666666666666,20.870886075949368,Night,2.072052401746725,43.24556962025317,0.6375131717597471,1
2025-08-01,1.0,4.18,11.24,15.42,3.37,32 min 10 sec,"Taco Bell, 821 N Milpas St",2,2,34.4127903,-119.690689,34.4295465,-119.6900785,4,Friday,False,False,32.166666666666664,6.286010362694301,Night,4.57566765578635,28.762694300518135,0.728923476005188,1
2025-08-01,7.5,3.0199999999999996,6.99,10.01,2.04,13m 7s,Banda Burrito (3614 State St),1,1,34.4256715,-119.7637962,34.440811051331245,-119.7409175039498,4,Friday,False,False,13.116666666666667,9.33163913595934,Morning,4.906862745098039,45.789072426937736,0.6983016983016983,0
2025-08-01,8.5,4.379999999999999,15.0,19.38,5.43,23m 28s,Vons (3326),1,1,34.4469638,-119.7997762,34.43816605878102,-119.79012608785088,4,Friday,False,False,23.466666666666665,13.883522727272728,Morning,3.569060773480663,49.55113636363637,0.7739938080495357,0
2025-08-01,10.5,5.5,2.0,7.5,5.05,19m 54s,Super Cuca's (626 W Micheltorena St),3,1,34.4260186,-119.6810988,34.4193402,-119.7158748,4,Friday,False,False,19.9,15.226130653266331,Morning,1.4851485148514851,22.61306532663317,0.2666666666666666,0
2025-08-01,14.5,7.670000000000002,17.22,24.89,13.0,46m 31s,"Sally Beauty - Goleta, CA",2,2,34.4279799,-119.7211213,34.4406893,-119.8267996,4,Friday,False,False,46.516666666666666,16.768183446793266,Lunch,1.9146153846153848,32.10462199928342,0.6918441141020489,0
2025-08-01,19.0,2.3400000000000007,6.05,8.39,0.22,8m 18s,Corazon Cocina (Santa Barbara),6,1,34.4149116,-119.7134866,34.4234746,-119.7069745,4,Friday,False,False,8.3,1.5903614457831323,Evening,38.13636363636364,60.65060240963856,0.7210965435041715,0
2025-08-01,19.5,3.22,3.87,7.09,0.59,13m 36s,"Panda Express, 605 Paseo Nuevo",6,1,34.4217036,-119.7073816,34.4187049,-119.7001661,4,Friday,False,False,13.6,2.6029411764705883,Evening,12.016949152542374,31.279411764705884,0.5458392101551481,0
2025-08-01,19.5,9.150000000000002,20.11,29.26,10.12,45 min 3 sec,Chipotle Mexican Grill (3851 State St),18,3,34.4241684,-119.6416418,34.439698635958216,-119.74914917511413,4,Friday,False,False,45.05,13.478357380688124,Evening,2.8913043478260874,38.97003329633741,0.6872863978127135,1
2025-08-01,20.0,3.390000000000001,7.93,11.32,3.6,25m 14s,Los Arroyos - Santa Barbara,6,1,34.4400968,-119.6299482,34.4217114,-119.6413115,4,Friday,False,False,25.233333333333334,8.56010568031704,Evening,3.1444444444444444,26.91677675033025,0.700530035335689,0
2025-08-01,20.5,3.1999999999999993,4.36,7.56,1.5,20 min 16 sec,The Win-Dow (Santa Barbara),6,1,34.424974,-119.7027632,34.4175894,-119.6994583,4,Friday,False,False,20.266666666666666,4.440789473684211,Evening,5.04,22.381578947368418,0.5767195767195767,1
2025-08-01,21.0,5.589999999999998,13.65,19.24,11.94,38m 54s,Flavor of India,6,1,34.435102,-119.5818624,34.44082532974802,-119.729410919293,4,Friday,False,False,38.9,18.416452442159382,Evening,1.6113902847571189,29.676092544987146,0.7094594594594595,0
2025-07-01,0.0,4.2700000000000005,7.79,12.06,1.23,22m 10s,"Taco Bell, 821 N Milpas St",2,1,34.4215118,-119.6941699,34.4295465,-119.6900785,1,Tuesday,False,False,22.166666666666668,3.329323308270677,Night,9.804878048780488,32.64360902255639,0.6459369817578773,1
2025-07-01,10.0,2.55,3.88,6.43,3.25,21m 02s,Starbucks (888 Embarcadero del Norte),1,1,34.412469305188615,-119.86825297985683,34.4133556,-119.8551797,1,Tuesday,False,False,21.033333333333335,9.270998415213946,Morning,1.9784615384615385,18.342313787638663,0.6034214618973561,0
2025-07-01,12.0,3.5,10.79,14.29,4.26,36m 34s,Luna Grill - Santa Barbara,3,1,34.4507812,-119.7643075,34.4401289,-119.7523599,1,Tuesday,False,False,36.56666666666667,6.9899726526891515,Lunch,3.3544600938967135,23.447584320875112,0.755073477956613,1
2025-07-01,13.5,4.05,3.0,7.05,5.64,20m 49s,Chipotle Mexican Grill (3851 State St),3,1,34.4062031,-119.6946365,34.439698635958216,-119.74914917511413,1,Tuesday,False,False,20.816666666666663,16.25620496397118,Lunch,1.25,20.320256204963975,0.425531914893617,1
2025-07-01,21.0,7.02,2.22,9.24,17.27,45m 59s,Szechuan Restaurant (Cliff Dr),1,1,34.4284992,-119.8774035,34.4024127,-119.7235134,1,Tuesday,False,False,45.983333333333334,22.53425154041319,Evening,0.535031847133758,12.056542225444002,0.2402597402597402,0
2025-07-01,22.5,7.75,13.93,21.68,13.03,34m 28s,Super Cuca’s no3,2,2,34.424974,-119.7027632,34.412309,-119.854985,1,Tuesday,False,False,34.46666666666667,22.682785299806575,Night,1.6638526477359938,37.74081237911025,0.6425276752767528,0
2025-06-01,1.5,2.5900000000000007,5.79,8.38,1.18,21m 42s,"Taco Bell, 821 N Milpas St",1,1,34.4209307,-119.7024531,34.4295465,-119.6900785,6,Sunday,True,False,21.7,3.262672811059908,Night,7.101694915254238,23.1705069124424,0.6909307875894988,1
2025-06-01,1.5,4.74,3.34,8.08,2.43,24m 50s,"Taco Bell, 821 N Milpas St",1,1,34.4215118,-119.6941699,34.4295465,-119.6900785,6,Sunday,True,False,24.833333333333332,5.871140939597316,Night,3.325102880658436,19.522147651006712,0.4133663366336633,1
2025-06-01,2.0,3.1899999999999995,4.82,8.01,5.58,33m 34s,"Taco Bell, 821 N Milpas St",1,1,34.4217036,-119.7073816,34.4295465,-119.6900785,6,Sunday,True,False,33.56666666666667,9.974180734856006,Night,1.4354838709677418,14.317775571002976,0.6017478152309613,1
2025-06-01,3.0,3.17,4.0,7.17,1.63,28m 24s,Jack in the Box (501 N Milpas St),1,1,34.4315262,-119.7014581,34.4262994,-119.6856795,6,Sunday,True,False,28.4,3.4436619718309855,Night,4.398773006134969,15.147887323943662,0.5578800557880056,1
2025-06-01,7.5,4.050000000000001,7.0,11.05,5.01,19m 29s,IHOP (State St),1,1,34.4365191,-119.7429162,34.4279962,-119.7111691,6,Sunday,True,False,19.483333333333334,15.428571428571429,Morning,2.2055888223552897,34.02908468776732,0.6334841628959276,0
2025-06-01,8.5,4.0600000000000005,5.0,9.06,5.2,24m 47s,Starbucks (Hollister & Storke-Goleta),1,1,34.4306314,-119.8579762,34.42963227133667,-119.87246797090242,6,Sunday,True,False,24.783333333333335,12.589105581708138,Morning,1.7423076923076923,21.934095494283795,0.5518763796909492,0
